sequence,investigation_ID,pair_label,paired,start_frame,end_frame,duration,mean_speed,mean_acc,mean_rotation,mean_rotation_speed
task1/train/mouse001_task1_annotator1,0,0_0,0,1,126,126,6.619949171172898,3.6810235056187692,2.8619462174109493,0.04783579136832763
task1/train/mouse001_task1_annotator1,1,1_0,0,136,633,498,6.364443688617009,3.5839902171106077,2.9242179724791355,0.041316497025280986
task1/train/mouse001_task1_annotator1,2,2_0,0,659,714,56,9.422267298394809,5.151395029362008,2.938319875657698,0.0452864352957737
task1/train/mouse001_task1_annotator1,3,3_0,0,736,898,163,4.820933152299058,3.456057943555937,3.00267049845686,0.03995739706936023
task1/train/mouse001_task1_annotator1,4,4_0,0,944,1045,102,2.8387571134931573,2.8087115483647813,2.714140885385384,0.0365228609650452
task1/train/mouse001_task1_annotator1,5,5_0,0,1139,1260,122,7.71258670525216,5.224770838864288,2.8884888036172196,0.06347026543303368
task1/train/mouse001_task1_annotator1,6,6_0,0,1353,1409,57,7.931484059415691,4.085946210841021,2.7282459907783765,0.034033878331166514
task1/train/mouse001_task1_annotator1,7,7_0,0,1482,1695,214,4.582828522747199,3.1638220253693894,2.8879474580698017,0.035206124788582996
task1/train/mouse001_task1_annotator1,8,8_0,0,1765,1886,122,6.016805685685508,4.227564010544782,2.9844994665450533,0.05489883535655876
task1/train/mouse001_task1_annotator1,9,9_0,0,1904,1911,8,6.894030866759953,4.928960432684245,2.903103988046113,0.10672694477374745
task1/train/mouse001_task1_annotator1,10,10_0,0,2012,2036,25,10.083783556842322,6.1448366412528195,2.961686693319554,0.048254316337936934
task1/train/mouse001_task1_annotator1,11,11_0,0,2276,2300,25,6.063455533996275,3.689349830277586,2.8895900123435028,0.048129461071666046
task1/train/mouse001_task1_annotator1,12,12_0,0,2309,2418,110,7.869954927532124,4.677362127946814,3.022633016227469,0.042840686414845626
task1/train/mouse001_task1_annotator1,13,13_0,0,2736,2773,38,6.3807878322443345,5.1368957469363306,3.0089901265507555,0.04894864774923167
task1/train/mouse001_task1_annotator1,14,14_0,0,2789,2978,190,5.477726387678759,3.7890016545731333,2.9379513154680508,0.047448545126031375
task1/train/mouse001_task1_annotator1,15,15_0,0,3990,4091,102,4.5004382398517,3.9020131392639317,2.9076928500167063,0.045753370189146506
task1/train/mouse001_task1_annotator1,16,16_0,0,4117,4120,4,3.985861783487022,1.9748217474040544,2.4483692194190367,0.048442277758607655
task1/train/mouse001_task1_annotator1,17,17_0,0,4132,4146,15,10.45296836068344,4.05464938631468,3.061099047326088,0.03154805219959389
task1/train/mouse001_task1_annotator1,18,18_0,0,4991,5120,130,4.258504869535344,3.098352763410925,2.909336096665163,0.043100017643042554
task1/train/mouse001_task1_annotator1,19,19_0,0,5329,5381,53,7.875094509423892,5.153295779703936,2.8532177983723224,0.0561804196818587
task1/train/mouse001_task1_annotator1,20,20_0,0,5399,5428,30,9.882830392118974,6.006815603184269,2.9435520506243,0.07510393422147409
task1/train/mouse001_task1_annotator1,21,21_0,0,5713,5752,40,10.976768424986059,6.433634967855954,2.7773113994369596,0.06204391281709472
task1/train/mouse001_task1_annotator1,22,22_0,0,6157,6196,40,5.548714443830379,4.176249772782681,3.020187800803447,0.035508248723256475
task1/train/mouse001_task1_annotator1,23,23_0,0,6660,6721,62,8.43484923409103,4.965255428197475,2.8557579191344273,0.07297835649186882
task1/train/mouse001_task1_annotator1,24,24_0,0,7386,7435,50,5.090158769015373,3.880826576990483,2.972640811755736,0.044383983572433595
task1/train/mouse001_task1_annotator1,25,25_0,0,7586,7609,24,11.177652697433823,5.390139768738969,2.921827637393412,0.050072881681788195
task1/train/mouse001_task1_annotator1,26,26_0,0,8448,8483,36,8.863381440880906,4.449262690972529,2.97852126276969,0.054862618738205735
task1/train/mouse001_task1_annotator1,27,27_0,0,8515,8527,13,15.011966285714616,4.18729067877379,2.6608213321532217,0.057240884868730024
task1/train/mouse001_task1_annotator1,28,28_0,0,9177,9223,47,11.844121000738209,6.997075138848757,2.8680791333816624,0.06545945836055182
task1/train/mouse001_task1_annotator1,29,29_0,0,9321,9329,9,2.428672255604074,1.8500249878750834,2.849726005254315,0.05083973407894124
task1/train/mouse001_task1_annotator1,30,30_0,0,9369,9377,9,13.12659589076478,5.189552615174296,2.742718980487176,0.04304464965992347
task1/train/mouse001_task1_annotator1,31,31_0,0,9505,9517,13,7.793151426780061,4.440413755486537,2.7799334603451817,0.03598101915549426
task1/train/mouse001_task1_annotator1,32,32_0,0,10192,10216,25,6.678457301578618,3.336416015561911,2.962808215484961,0.04320764158119184
task1/train/mouse001_task1_annotator1,33,33_0,0,10430,10472,43,1.8996846253594224,2.3452339797583397,2.841281421684597,0.028121511516763738
task1/train/mouse001_task1_annotator1,34,34_0,0,10526,10539,14,8.543141765965302,3.846068949751487,3.0747541860834633,0.03256092725785785
task1/train/mouse001_task1_annotator1,35,35_0,0,10555,10568,14,4.652793896364804,2.673856496110922,3.002646359738056,0.03382073600776885
task1/train/mouse001_task1_annotator1,36,36_0,0,10629,10660,32,5.610392204962423,4.109685374420955,2.8290773163149354,0.05404388852874763
task1/train/mouse001_task1_annotator1,37,37_0,0,11723,11750,28,13.850097353742655,6.346740300043014,2.7187111860389193,0.07478456558465928
task1/train/mouse001_task1_annotator1,38,38_0,0,12002,12018,17,9.28127534088034,5.228133534118889,2.980824638097556,0.04365643020334442
task1/train/mouse001_task1_annotator1,39,39_0,0,12115,12161,47,6.669552900089058,4.397775334279645,2.689216740657094,0.062415450712360675
task1/train/mouse001_task1_annotator1,40,40_0,0,12182,12192,11,1.7650735105722204,1.9589039278983,2.855942312913192,0.026836746693243905
task1/train/mouse001_task1_annotator1,41,41_0,0,12386,12440,55,8.843124463803287,6.256626075518943,2.6844757467745954,0.087444191338224
task1/train/mouse001_task1_annotator1,42,42_0,0,12638,12662,25,10.02135836158013,5.692662332056859,2.929767979285829,0.05981962300677093
task1/train/mouse001_task1_annotator1,43,43_0,0,12699,12712,14,7.310809223453917,4.935424709215087,2.8221597677886447,0.09896244595504723
task1/train/mouse001_task1_annotator1,44,44_0,0,12822,12861,40,5.451719078658444,3.481285434565018,2.7033973540757077,0.043136166786344576
task1/train/mouse001_task1_annotator1,45,45_0,0,13401,13486,86,8.65873321252851,5.417877055293469,2.7307347861681883,0.08972467244694213
task1/train/mouse001_task1_annotator1,46,46_0,0,14081,14127,47,4.552039940695774,4.165913901514909,2.974166836000159,0.04367471641051155
task1/train/mouse001_task1_annotator1,47,47_0,0,14420,14456,37,7.590185154613899,3.9722470741176754,2.8689870413651066,0.04642937853991474
task1/train/mouse001_task1_annotator1,48,48_0,0,15730,15765,36,10.932599736997028,6.189439266405113,2.8721843567035794,0.06793860604981988
